"","logFC","logCPM","LR","PValue","FDR"
"ADRBK2",1.11317385188643,4.04370453803174,21.8652505886019,2.92482748339226e-06,7.43898936701858e-06
"AFF2",5.90675710913007,0.740317290974277,49.1259716834795,2.40040831899919e-12,1.35851099429833e-11
"AFM",-1.39199997655431,7.75806970201703,39.218007419514,3.79028323923996e-10,1.63747927348484e-09
"AFP",7.81412104657314,9.70178732520749,82.6193211214512,9.94799023753287e-20,1.40779134573571e-18
"AG2",-1.96381338373803,4.41882435328504,109.640738104686,1.17461554086612e-25,3.25141667019481e-24
"AGAP5",1.0195250690331,-0.0448166439683666,45.4485485517072,1.56701616613475e-11,8.08470885143721e-11
"AGBL2",1.14221436365327,1.01355402550829,18.8037822259896,1.44879532154616e-05,3.35759462474284e-05
"AGBL3",1.57693373352543,-0.866301325181,58.6241651364214,1.90857857387473e-14,1.43460498514977e-13
"AGL",-1.22662723537384,5.54884368199697,112.474915699874,2.81200202085048e-26,8.34208058521566e-25
"AGPAT4",1.57728687312397,2.1627623676114,47.543147272234,5.38065205379172e-12,2.92072365139643e-11
"AGR2",4.95144406615927,5.34082606561259,19.4369685962799,1.03974834148984e-05,2.45633758807905e-05
"AGRN",1.1653200383016,7.56533701999022,35.8015821355302,2.18470409911787e-09,8.53195609466669e-09
"AGTR1",-1.1710266227377,5.51403046598494,53.6121802047116,2.44240457582924e-13,1.57851299304821e-12
"AGXT2",-1.59347138328511,5.60585563244789,54.4986332092244,1.55555978975172e-13,1.03160050738596e-12
"AHNAK2",2.34510369684212,2.87694340839511,28.8498093832397,7.82135976986907e-08,2.44874189853794e-07
"AHRR",2.2865666936435,0.174155815138524,33.0315734174477,9.0674343182689e-09,3.26784283359669e-08
"AHSA2",1.35380074777572,3.56997188626938,84.2029185557793,4.46511019760215e-20,6.65034982825992e-19
"AIF1L",1.64742657777288,3.37876400504301,34.7617103190154,3.72630542408845e-09,1.41260552682442e-08
"AIFM3",1.16735739799407,0.60660331339575,24.3087454046808,8.2065622524273e-07,2.24884349287129e-06
"AIM1L",3.18324148093763,1.04616553038748,92.8838386567241,5.54555030862739e-22,1.04263547815583e-20
