V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
54520,1869,10052,10092,1029,10253,10085,10309,10124,10257,10051,0.9987,0,0,0,0,0,0.000433806081364386
54535,1869,2353,4609,10052,10085,10061,10092,10067,10051,10096,100132464,10097,10055,0.9966,0,0,0.000472543088407249
54549,4609,7020,10067,10061,10055,10092,10057,10036,10059,100132464,0.9936,0,0,0,0,0,0.000352141579259819
54566,4609,7020,10067,10061,100132464,10124,10092,10055,10059,10139,10038,10057,0.9939,0,0,0,0.000406500968613484
54575,367,1012,1893,10401,1071,11140,0.9961,0,0,0,0,0,0,0,0,0,0.000194171938188269
54577,10057,10449,6296,72,130,6688,4609,3727,2353,23764,1869,0.9895,0,0,0,0,0.000538690779346692
5460,116236,55,11174,134,367,1012,10401,1071,11140,0.9985,0,0,0,0,0,0,0.000318103745534632
54621,7020,10221,10196,10092,10057,1020,10059,10016,1021,0.9899,0,0,0,0,0,0,0.000369256913476083
54626,2099,4854,11317,1020,10486,10401,10555,10411,10121,0.9955,0,0,0,0,0,0,0.000327736017573526
547,367,2099,6662,1012,10401,1020,10486,1071,0.9954,0,0,0,0,0,0,0,0.000337176327327883
54733,4609,10067,10061,10055,10197,10221,100132464,10036,0.9894,0,0,0,0,0,0,0,0.000343047097934914
54742,2353,4609,7020,10067,10061,10057,10112,10092,10055,100132464,10036,100289635,10056,0.9904,0,0,0.000446126533438122
54751,1869,7020,10052,10092,10051,10016,10085,0.9971,0,0,0,0,0,0,0,0,0.000278242976866929
5476,467,1879,4609,10067,10061,10055,0.9921,0,0,0,0,0,0,0,0,0,0.000295567097255211
54762,3725,10332,10164,10615,10402,10294,10131,10300,0.9947,0,0,0,0,0,0,0,0.000333497329967776
54810,9625,18,89845,10449,47,7025,6688,0.9935,0,0,0,0,0,0,0,0,0.000204147378647735
54821,130399,56999,364,158763,253982,7391,7025,4609,6257,2099,405,1869,1875,1870,144455,0.9906,0.000525469296822003
54825,3725,4609,7020,10059,10061,10057,10092,10067,10062,10055,100132464,10130,10036,0.9931,0,0,0.000491233528036423
54836,1869,1870,1875,144455,5460,10052,10085,1009,10092,10253,1017,10257,1003,1029,10227,0.9984,0.000544219250855973
54842,2353,10164,10332,10486,10112,10036,1020,10216,10300,10544,0.9957,0,0,0,0,0,0.000363761389205413
54845,4609,10067,10061,10055,10197,10221,100132464,10213,10036,10056,0.9889,0,0,0,0,0,0.00037352840321899
54852,21,89845,4363,10257,30,7025,7391,1869,6257,7157,0.9927,0,0,0,0,0,0.000417666587724529
548645,4609,10061,10067,1020,10038,10056,10055,10221,10036,10124,10058,0.9935,0,0,0,0,0.000479416400172771
54866,2099,10486,1020,10401,10411,111,10555,10763,11243,10987,11309,0.9941,0,0,0,0,0.000404875610018029
54892,1958,1012,10249,10092,10211,10044,10013,10253,10097,0.9958,0,0,0,0,0,0,0.000335369304246697
54937,1870,10253,10763,10960,10051,1031,10681,1072,10642,1000,10493,0.9966,0,0,0,0,0.000539786949999717
54959,18,21,10057,116236,84129,5452,4609,3172,0.9919,0,0,0,0,0,0,0,0.000254654309614613
54962,1869,10052,10085,10092,10051,1029,10309,10253,0.999,0,0,0,0,0,0,0,0.000341785770126152
54972,1869,2099,10052,10253,1020,10085,10057,10051,10092,0.9972,0,0,0,0,0,0,0.000389042857663258
54986,18,21,10057,116236,36,5452,1958,4609,3172,5460,0.9915,0,0,0,0,0,0.0003365126557524
54988,1869,10052,10085,1029,10253,1031,10196,0.9987,0,0,0,0,0,0,0,0,0.000328565259525949
54997,1958,2099,23462,4609,9869,1012,10062,10121,10061,0.9951,0,0,0,0,0,0,0.000389289486666444
55,367,4609,5460,1012,10061,10067,10055,10197,10036,100132464,10111,0.9963,0,0,0,0,0.000392776685943131
55002,1869,1958,7020,1012,10052,10085,10092,0.9984,0,0,0,0,0,0,0,0,0.000315199681709806
5502,79841,336,367,55723,467,1012,1071,10401,1021,10293,10521,10621,1062,10681,10514,0.9965,0.000489907477110291
55036,18,340273,89845,10060,10965,7025,1523,5087,3172,196,405,0.9877,0,0,0,0,0.000249703150278535
55038,1869,1879,1958,4609,7020,10085,10061,10052,10062,10092,10057,0.9975,0,0,0,0,0.00047641132044027
55055,467,1869,2308,9735,10052,10092,10085,10196,10236,10131,10253,10124,0.9976,0,0,0,0.000475607098386724
55061,10965,130399,8751,8754,11093,405,10664,6925,1869,196,7026,0.9978,0,0,0,0,0.000397477624618002
55068,4609,6662,10067,10061,10055,10197,10036,10213,100132464,10038,0.9913,0,0,0,0,0,0.000368104647067219
55083,4609,6662,10067,10061,10055,10197,1020,10213,100132464,10036,10038,10056,0.991,0,0,0,0.000441817941784415
55093,9139,4609,9319,10061,10062,10124,10197,10156,100132464,10058,10129,10055,10111,0.9963,0,0,0.00049780854015177
55117,4609,10067,10061,10055,10197,10221,100132464,10036,0.9902,0,0,0,0,0,0,0,0.000343742158286532
55118,7020,10221,10196,10092,10057,10130,10059,10128,1020,1021,0.9919,0,0,0,0,0,0.000427607701436886
55127,4609,10055,10213,10061,10067,10169,10131,10127,10058,10084,0.9919,0,0,0,0,0,0.000332729955612013
55143,1879,10038,10512,10017,0.9949,0,0,0,0,0,0,0,0,0,0,0,0.00013517050379454
55154,1869,1958,1012,10052,10085,10092,0.9993,0,0,0,0,0,0,0,0,0,0.000281218542611962
