V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
10148,53335,1869,1879,1958,8061,1012,10092,10052,10085,10111,10054,0.9949,0,0,0,0
1015,2353,7020,10164,10057,10112,10092,10036,10059,10165,10130,10163,1017,0.9901,0,0,0
10154,1050,1649,2308,1012,10221,10449,1031,1033,10471,10112,10113,10335,0.9978,0,0,0
10158,1869,10052,10085,1029,10196,10253,1031,10092,10309,10051,0.9996,0,0,0,0,0
10164,60468,2354,8061,2353,2625,10332,10174,10402,10057,10293,10112,10226,0.9938,0,0,0
10171,53335,1879,4609,10061,10067,10197,10038,10055,10036,0.9922,0,0,0,0,0,0
10202,467,1869,1958,23764,4603,1012,10052,10085,10092,10062,10013,10051,0.9973,0,0,0
10218,30,10965,2180,2182,23305,6257,1869,1870,1958,6688,7391,4211,196,0.9863,0,0
10221,60468,1050,1649,1958,2354,1012,10164,10092,10163,10134,10062,0.9933,0,0,0,0
10228,21,10351,4363,10257,30,6257,6688,0.985,0,0,0,0,0,0,0,0
10232,7020,10221,10057,10196,10092,10130,10059,1020,10016,10139,10128,0.9845,0,0,0,0
10243,1958,4609,1012,10067,10061,10038,10092,100132464,0.9963,0,0,0,0,0,0,0
10249,1958,1012,10253,1020,10123,10226,0.9953,0,0,0,0,0,0,0,0,0
10253,1869,1870,1875,144455,1958,1012,10052,10085,0.9994,0,0,0,0,0,0,0
10257,1869,4609,7020,10052,10061,10067,10092,10085,10016,0.9977,0,0,0,0,0,0
10262,1958,1959,1960,7020,1012,10057,10128,10059,0.9963,0,0,0,0,0,0,0
10268,21,10257,10057,116236,30,5452,6257,1958,0.9913,0,0,0,0,0,0,0
1029,1869,1958,4171,4174,4609,1012,10052,10061,10085,10067,10092,0.9982,0,0,0,0
10290,1050,1649,2625,1012,10164,10253,0.996,0,0,0,0,0,0,0,0,0
10293,467,2625,10164,10174,10521,10131,0.9909,0,0,0,0,0,0,0,0,0
1030,1869,2308,4609,10401,10052,10085,10038,10124,10051,10055,100132464,0.9982,0,0,0,0
10309,1050,1869,4609,1012,10052,10061,10067,10092,10131,10085,10055,0.9987,0,0,0,0
1031,1869,1870,1958,1959,1960,1012,10052,10085,0.9986,0,0,0,0,0,0,0
10316,21,10257,10057,116236,176,4609,5452,1488,7391,5885,5460,1869,140690,7157,6775,0.993
1033,1050,4602,1012,10335,10449,10051,0.9941,0,0,0,0,0,0,0,0,0
10331,21,30,36,84320,6296,6257,3172,2186,5885,144455,4149,23462,0.9928,0,0,0
10332,2354,2353,3726,3725,10402,10036,10302,10133,10120,10286,100113407,10216,0.9912,0,0,0
10335,1050,1649,7020,1012,10196,10092,0.9985,0,0,0,0,0,0,0,0,0
10345,340273,10057,10060,30,10449,6688,4149,7391,2625,0.9829,0,0,0,0,0,0
10351,32,84320,47,9719,54443,4149,4609,6935,2186,6945,0.993,0,0,0,0,0
10361,21,4363,84448,30,10449,1958,6257,7391,4609,1050,7157,140690,6688,6774,10664,0.9877
10376,1869,1958,2099,4609,1012,10052,10085,10061,0.9973,0,0,0,0,0,0,0
10388,18,21,10057,116236,84129,5452,3172,0.9905,0,0,0,0,0,0,0,0
10389,1869,4609,10052,10061,10092,10067,10085,100132464,10051,10096,0.9973,0,0,0,0,0
10395,5460,11178,1756,157313,1760,0.9922,0,0,0,0,0,0,0,0,0,0
10397,1869,2353,3609,4609,10052,10061,10085,10092,10067,1003,10127,10062,10058,10124,0.9973,0
10398,21,10257,10057,116236,10449,5452,4609,1869,5460,0.9953,0,0,0,0,0,0
1040,1958,1012,10249,10092,10253,10243,10036,10062,10130,0.9953,0,0,0,0,0,0
10400,1958,1012,10249,10253,1020,10130,10013,0.9958,0,0,0,0,0,0,0,0
10401,367,1030,2099,8091,4609,1012,10156,10038,10061,10121,10055,100289635,10131,10129,0.9963,0
10402,2625,3725,10164,10332,10174,10293,10411,10253,10057,10216,0.9941,0,0,0,0,0
10403,1869,7020,10052,10085,10051,10128,10092,10124,10121,0.9977,0,0,0,0,0,0
10417,23462,9869,10535,114897,116844,1284,116535,1370,10841,1312,126393,0.9935,0,0,0,0
10449,1050,1012,1071,10922,1033,10221,10979,10335,10309,10873,10971,0.9983,0,0,0,0
10457,21,10351,10257,10057,116236,5452,5460,6775,1869,4609,0.9866,0,0,0,0,0
10460,1869,1870,1875,144455,8458,10052,10085,10253,10092,1029,10309,10124,10296,0.9992,0,0
1047,21,10257,10057,116236,84448,5452,5460,7391,1958,4609,1869,2099,2625,6775,0.989,0
10481,367,1012,1893,10401,1071,11140,0.9961,0,0,0,0,0,0,0,0,0
10486,2099,2353,10164,10332,10411,1020,10401,10121,10057,10112,10371,0.9964,0,0,0,0
1050,4363,10449,133,148,146,1012,1071,10221,10922,10335,10865,0.9977,0,0,0,0
10500,7020,10221,10196,10092,10057,10059,10130,10016,1020,10062,0.9916,0,0,0,0,0
10505,1958,7020,1012,10057,10036,10059,10097,10121,10092,10062,0.9951,0,0,0,0,0
10517,340273,72,97,8745,9509,2099,3297,5090,988,1523,5087,4205,5451,0.9918,0,0
10518,4602,1033,1063,11169,144455,10051,142,1191,116461,10213,10969,0.9851,0,0,0,0
10537,79841,336,367,55723,467,1012,1071,10401,10521,1021,10293,10131,10621,1062,10009,0.9946
10551,53335,1879,10038,10171,10128,100289635,10313,10017,10312,10370,10133,10411,0.9906,0,0,0
1056,1050,1869,1012,10052,10085,1009,10253,10092,10051,10257,0.9994,0,0,0,0,0
10562,10057,116236,36,176,47,5452,4609,0.9929,0,0,0,0,0,0,0,0
10566,4783,4824,131965,10067,10174,123879,11232,10979,1191,114883,11346,10458,0.9905,0,0,0
10568,2099,2354,2353,3726,3725,10332,10164,10057,1020,10036,10121,10112,0.9929,0,0,0
10570,2308,4609,10067,10061,100132464,10197,10112,10055,10036,10038,1020,0.9934,0,0,0,0
1058,2353,10332,10486,10164,10216,10371,10554,10103,10112,10544,10163,0.9954,0,0,0,0
10584,10057,47,6296,130399,11093,23462,6925,2551,10664,5452,4211,1051,5971,2033,2296,0.9985
10590,84448,176,23305,6296,130399,1488,7391,6257,2353,2099,5885,405,0.9925,0,0,0
10592,84320,133,83543,226,54443,2551,10782,1649,1874,2353,10127,1875,3066,10009,4800,0.9936
10610,53335,1869,1879,7020,10052,10092,10051,10128,10038,10085,10057,10121,1000,10046,0.9985,0
10613,1958,7020,1012,10059,0.9946,0,0,0,0,0,0,0,0,0,0,0
10615,3725,4609,10061,10164,10067,100132464,10055,0.99,0,0,0,0,0,0,0,0
1062,467,10293,10131,10621,10681,10471,11243,10961,112476,0.9901,0,0,0,0,0,0
10626,4609,9869,10061,10055,10197,10124,10062,10131,1020,10058,10067,0.9939,0,0,0,0
1063,1869,4602,4609,10052,10061,10092,10067,10085,10055,10131,10124,0.9943,0,0,0,0
10630,1869,10052,1029,10085,10253,10092,10196,0.9994,0,0,0,0,0,0,0,0
10631,3725,5460,10332,10164,10402,10216,10131,10128,0.9947,0,0,0,0,0,0,0
10635,5888,840,641,25788,1107,1874,144455,7431,836,0.9877,0,0,0,0,0,0
10642,1869,1870,1875,144455,1958,1012,10052,10085,10092,0.9988,0,0,0,0,0,0
10643,1869,1958,4609,7020,10052,10061,10067,10085,10057,10092,10055,100132464,10044,10062,0.9958,0
10644,467,7020,10092,1020,10057,10196,10131,10059,10016,0.9865,0,0,0,0,0,0
10666,2625,3725,10332,10402,10164,10057,10174,10293,10216,0.9927,0,0,0,0,0,0
10669,2099,4609,4773,4776,7546,10061,10156,10121,10131,10067,10057,10058,10036,10124,0.9933,0
10675,4363,84448,30,10449,32,6257,4609,7391,1958,6720,6945,7157,1051,51085,0.9913,0
10677,21,10257,10057,116236,176,5452,5460,1488,5885,1958,4609,0.9927,0,0,0,0
10699,21,10257,10057,116236,176,5452,5885,5460,4609,1488,0.9929,0,0,0,0,0
1071,367,1050,1869,2118,1012,10052,10092,10085,0.9987,0,0,0,0,0,0,0
10712,84448,114,147,152,4329,2186,3727,0.9923,0,0,0,0,0,0,0,0
10720,10057,84129,6296,170690,174,6688,2353,2625,7391,3174,4149,5885,6927,23462,3170,0.9891
10721,89845,11093,134637,130,79841,7025,6925,2551,2309,2033,6872,5451,5452,0.9979,0,0
10733,2308,143941,114907,1462,1499,140609,1369,10112,114879,1290,1031,0.9937,0,0,0,0
10736,4609,7020,10067,10092,10061,10055,10057,10036,10059,100132464,10056,0.9928,0,0,0,0
1075,1958,4609,1012,10067,10061,10092,10055,0.9962,0,0,0,0,0,0,0,0
10763,1869,1870,1875,144455,2099,1020,10052,10253,10124,1018,1021,10085,0.9991,0,0,0
10793,18,21,36,414149,47,6720,7391,4609,4800,0.9942,0,0,0,0,0,0
10804,10965,2182,130399,8751,8754,6257,1958,9319,1869,2353,4800,2099,4205,4087,405,0.9896
10814,1958,4609,1012,10067,10061,10055,10092,10036,0.9966,0,0,0,0,0,0,0
10815,1958,1012,10249,10092,10243,10036,10130,10253,1019,10097,10062,0.9956,0,0,0,0
10841,467,8061,2353,23462,10332,10164,10293,10216,0.9937,0,0,0,0,0,0,0
10859,51166,21,10257,10057,116236,1869,7391,5460,4790,5452,5885,0.9932,0,0,0,0
1087,21,10257,10057,116236,176,5452,1488,5885,4609,5460,1869,0.993,0,0,0,0
10873,1050,2353,4609,1012,10164,10061,10067,10055,10112,10096,0.9949,0,0,0,0,0
10886,112,173,174,10551,257,7391,1879,23462,29117,4208,51003,4005,0.9946,0,0,0
10894,1960,10540,11335,10782,11273,1031,10493,11004,10197,0.9935,0,0,0,0,0,0
10903,2353,3725,7546,10164,10332,10112,10131,10296,10371,0.9942,0,0,0,0,0,0
10912,367,2099,2308,2625,5460,1012,10164,10401,10174,1020,10411,10253,0.9934,0,0,0
10919,1958,4609,1012,10061,10092,0.9963,0,0,0,0,0,0,0,0,0,0
10923,2353,3725,4609,5111,10164,10061,10067,10163,10111,0.9907,0,0,0,0,0,0
10926,10036,1869,1958,4171,4172,1012,10052,10085,10044,10092,10158,10062,1017,10051,0.9981,0
10947,1879,2353,4609,10164,10067,10061,10055,10112,10038,10036,10163,0.9943,0,0,0,0
10957,367,1958,2099,7020,1012,10057,10139,10062,10120,10092,10107,10123,10044,0.9933,0,0
10962,1050,1958,2354,2353,3726,1012,10164,10092,10163,10062,10097,10096,10112,10130,0.9942,0
10963,2353,4609,10164,10067,10061,10112,10055,10038,10062,10180,10131,100132464,0.9933,0,0,0
10965,340273,4363,10060,30,10449,6257,7391,4609,7157,6688,3172,405,6778,5087,1523,0.9839
10984,21,4363,30,10449,32,4609,6720,6257,6778,4149,0.987,0,0,0,0,0
10998,1958,3299,4609,1012,10061,10044,10055,10067,10058,10092,10036,10062,0.9962,0,0,0
11004,1869,1958,1959,1960,1012,10052,10085,0.9983,0,0,0,0,0,0,0,0
11005,2353,3725,10332,10164,10112,10402,10216,0.9952,0,0,0,0,0,0,0,0
11015,1958,1012,10249,10092,10036,10097,10253,1021,10238,10243,10107,0.9958,0,0,0,0
11022,1958,1959,1960,2353,1012,10163,10164,10062,10092,10112,10016,10095,10097,10044,0.9946,0
11027,4363,30,10449,32,36,6257,4149,6772,51085,7157,5465,6720,2033,0.9945,0,0
11065,2353,4609,10061,10164,10067,10180,10055,10131,0.9906,0,0,0,0,0,0,0
1107,1879,4097,4602,4609,5888,10061,10055,10038,10067,10107,10131,10111,10036,10171,10051,0.9911
11075,60468,10164,10221,11199,10765,10728,10134,10922,115817,10162,11346,0.9933,0,0,0,0
11077,1869,4609,10052,10061,10092,10085,10067,10051,10131,0.9979,0,0,0,0,0,0
11082,2353,3725,10332,10402,10164,10112,10163,10216,10411,10371,10131,0.9961,0,0,0,0
11093,1958,7020,1012,10111,10103,10044,10101,10057,0.9974,0,0,0,0,0,0,0
1111,1869,5888,10052,10085,1029,10092,10051,10253,10309,10196,10257,0.9993,0,0,0,0
11126,9625,18,89845,10449,47,7025,6720,0.9947,0,0,0,0,0,0,0,0
1113,1958,2114,3725,7020,1012,10057,10092,10036,10054,10059,10121,10130,10062,10013,0.9937,0
11130,84320,414149,47,10965,6296,4800,7391,405,4211,1875,6720,5087,3174,4205,23462,0.9926
1114,6258,1869,30,364,1376,5106,4023,34,33,0.9895,0,0,0,0,0,0
11145,7020,1020,10221,10196,10057,10201,10016,10092,10139,10059,0.9885,0,0,0,0,0
11146,176,9719,174,56895,10566,4824,5885,1051,4783,2353,6925,6872,1869,0.9915,0,0
11156,21,4363,10257,10057,116236,5452,5460,1869,4609,1958,405,7391,2625,6775,0.9905,0
1116,1958,2354,8061,2353,3726,1012,10164,10092,10112,10062,10163,10036,10054,10044,0.9942,0
11169,1958,4602,1012,10092,0.9926,0,0,0,0,0,0,0,0,0,0,0
1117,1879,10038,10128,10171,10313,100289635,10169,10227,10235,10133,10521,0.9886,0,0,0,0
11174,4609,4824,5460,10061,10067,1020,10197,100132464,10055,10200,10124,10111,0.9951,0,0,0
11178,995,983,5460,1523,10513,130367,1017,0.9963,0,0,0,0,0,0,0,0
1119,1869,1958,1960,1012,10052,10085,0.9967,0,0,0,0,0,0,0,0,0
11190,4609,7020,10061,10092,10067,10016,100132464,10121,0.9931,0,0,0,0,0,0,0
11197,21,340273,10257,10057,116236,5452,1869,5460,1958,4609,7391,0.9899,0,0,0,0
11199,60468,2354,8061,2353,3726,10332,10164,10486,10148,10112,10216,0.9933,0,0,0,0
112,2625,10293,10164,143941,0.995,0,0,0,0,0,0,0,0,0,0,0
11200,1869,2353,7020,10052,10057,10085,10092,10051,0.9961,0,0,0,0,0,0,0
1122,4609,7020,10061,10092,10067,10055,10057,10124,10038,0.9938,0,0,0,0,0,0
1123,10351,340273,89845,32,84320,4149,7025,1869,144455,2975,0.9962,0,0,0,0,0
11234,467,2353,3725,4609,10061,10164,10067,10055,100132464,10112,10062,0.9911,0,0,0,0
112399,51166,9625,18,21,340273,1869,4149,3172,4790,4609,140690,7391,1523,2908,0.9912,0
11240,53335,1879,5460,10038,10128,10171,10552,100289635,1051,10103,10227,10312,0.9906,0,0,0
11247,2625,10164,10293,143941,0.9939,0,0,0,0,0,0,0,0,0,0,0
112476,467,1050,1869,1870,1875,1012,10052,10092,10085,10124,1022,10131,10113,10011,10127,0.9982
11248,51166,21,340273,4363,10257,1869,1523,7391,4149,4609,6929,7157,140690,6772,0.9927,0
11254,1050,1012,1033,1071,0.9977,0,0,0,0,0,0,0,0,0,0,0
11270,21,89845,4363,10257,30,6257,7025,7157,7391,1869,0.9929,0,0,0,0,0
113026,51166,9625,18,21,89845,1869,7025,4149,4609,0.9941,0,0,0,0,0,0
1131,7020,10092,10221,10057,10196,10130,10059,10016,1020,10139,10128,0.9879,0,0,0,0
11311,4609,10061,10197,10055,10124,0.9945,0,0,0,0,0,0,0,0,0,0
113130,1869,7020,10052,10085,10092,10051,10016,10128,10124,1000,10059,0.9977,0,0,0,0
11314,1879,4609,10055,10067,10061,10197,10007,100132464,10036,0.9933,0,0,0,0,0,0
113146,2353,10332,10164,10486,10112,10036,10216,0.9944,0,0,0,0,0,0,0,0
11317,2354,8061,2353,2625,54626,10332,10164,10057,10174,10293,10402,10486,10112,10216,0.9947,0
11318,4363,30,10449,32,36,6257,4609,1051,3172,4149,6688,51085,5465,7157,7391,0.989
11339,1869,7020,10052,10085,10092,0.9971,0,0,0,0,0,0,0,0,0,0
1134,21,10257,10057,116236,36,5452,1958,5460,4609,140690,1869,7391,7157,0.9915,0,0
113730,9625,18,89845,4363,10257,7025,1869,6772,4149,7157,0.9899,0,0,0,0,0
1138,1869,10052,10085,1029,10309,10092,10253,10051,10196,0.9995,0,0,0,0,0,0
113828,7020,10221,10092,10059,10130,10196,10057,10016,1017,10121,10099,0.9922,0,0,0,0
113835,10057,116236,36,176,414149,5452,4800,5885,5460,0.9941,0,0,0,0,0,0
114,1958,1960,7020,1012,10057,10130,10062,10092,10059,10097,0.9941,0,0,0,0,0
114299,9625,340273,116236,84320,2182,6257,5452,144455,3172,1870,5460,1869,2186,10664,0.9934,0
114327,3725,10332,10164,10402,10221,10216,10131,1019,1020,10553,10615,0.9937,0,0,0,0
114548,133,10551,222,247,259173,1870,1879,1874,5885,144455,1869,2353,4208,0.993,0,0
114770,9625,18,89845,10449,176,5885,7025,0.9939,0,0,0,0,0,0,0,0
114783,21,30,36,84320,6296,6257,5885,2186,23462,4800,5465,144455,0.9935,0,0,0
114787,1960,10540,10894,1031,10535,11004,11273,10262,10482,11060,11316,0.9924,0,0,0,0
114794,1050,3725,7020,1012,10092,10057,0.9934,0,0,0,0,0,0,0,0,0
114800,1959,11004,10540,10262,10535,11335,1284,124222,1031,11273,1213,0.9959,0,0,0,0
114801,2354,2353,3726,3725,10332,10164,10112,10402,10036,10411,10216,0.9947,0,0,0,0
114822,2353,7020,10164,10057,10112,10092,10036,0.9901,0,0,0,0,0,0,0,0
114824,6662,1869,144455,2354,1870,2353,1848,1756,23516,2027,1284,0.9934,0,0,0,0
114897,9869,7020,10062,10121,10057,10059,10165,10092,10196,10103,10016,10099,0.994,0,0,0
114899,2308,143941,10733,10112,140609,1031,1369,0.9909,0,0,0,0,0,0,0,0
114904,10257,10449,8751,8754,9510,1869,9319,7157,0.9941,0,0,0,0,0,0,0
114905,340273,10057,10060,10449,10965,2625,6688,6778,4205,3298,2296,0.9905,0,0,0,0
114907,2308,4609,10067,10061,100132464,10112,10197,10055,10036,10131,0.9941,0,0,0,0,0
115019,2099,3725,10332,10164,10486,10411,1020,10401,0.993,0,0,0,0,0,0,0
1152,4609,10067,10061,10055,10197,10221,10036,100132464,10171,10128,0.9903,0,0,0,0,0
115265,2625,10293,143941,10164,0.9936,0,0,0,0,0,0,0,0,0,0,0
115330,10057,47,10965,6296,130399,6688,2353,0.9895,0,0,0,0,0,0,0,0
1154,2099,10411,10486,10555,1020,111,10401,11243,10057,11331,10987,0.9921,0,0,0,0
115584,2353,3725,4609,10164,10061,10067,10112,10055,0.989,0,0,0,0,0,0,0
115703,1958,4609,1012,10061,10067,10092,10013,0.9966,0,0,0,0,0,0,0,0
115727,1050,1012,1033,0.9951,0,0,0,0,0,0,0,0,0,0,0,0
115811,2353,10332,10486,10164,10112,10216,10036,10371,0.9953,0,0,0,0,0,0,0
115827,84448,176,23305,6296,130399,7391,1958,2353,1488,4790,6257,5885,23462,405,0.993,0
115908,21,340273,89845,4363,10257,7391,1869,7025,5087,0.9933,0,0,0,0,0,0
1160,116236,55,2180,72,8038,4609,1869,1870,1958,6257,5452,3172,5460,2308,0.9923,0
116039,1869,7020,10052,10085,10092,10051,10128,10057,10130,10158,10016,10079,0.9973,0,0,0
116085,4609,10067,10055,10061,10197,10171,10128,100132464,10036,10221,0.9916,0,0,0,0,0
116236,1958,4602,5460,7020,1012,10057,10051,10036,10128,10111,10106,10059,10123,10092,0.9933,0
116238,1958,1959,1960,4609,7020,10057,10061,10067,10092,10055,10013,10059,10062,10096,10044,0.9907
116285,21,10257,10057,116236,176,5452,7391,5460,1958,5885,0.9919,0,0,0,0,0
116372,2353,3725,4609,10164,10067,10061,10112,10055,0.9891,0,0,0,0,0,0,0
1164,4609,5993,7020,10061,10067,10092,10055,10057,10128,10039,10131,100132464,10124,0.9916,0,0
116519,4609,6258,10061,10067,1020,10221,10213,100132464,10197,10055,10056,10036,0.9887,0,0,0
116844,2353,23462,4609,7546,10164,10061,10067,10105,10112,10131,10055,0.9928,0,0,0,0
117155,1879,10171,10128,10103,10038,0.9926,0,0,0,0,0,0,0,0,0,0
117289,112,173,174,10551,257,7391,1879,6925,4208,23462,6774,10210,6929,5885,0.9949,0
117854,89845,10057,47,6296,11093,7025,2551,0.9986,0,0,0,0,0,0,0,0
1181,1958,4609,1012,10061,10067,10092,10055,100132464,10013,10094,10007,0.9958,0,0,0,0
118429,4363,30,10449,32,36,6257,51085,4609,4149,5465,6256,7157,6720,6945,10009,0.9926
118430,10057,116236,30,10449,33,5452,6257,0.9933,0,0,0,0,0,0,0,0
118611,3725,10332,10164,10402,10221,10216,10131,1019,10615,10493,10294,0.9935,0,0,0,0
1187,340273,10060,10965,2180,2182,6257,1958,1870,1869,6239,4800,405,6935,4211,196,0.9866
118932,3725,10332,10164,10402,10221,10216,1019,10131,0.9913,0,0,0,0,0,0,0
1192,60468,1869,1870,1875,144455,10052,10164,10085,10253,0.9964,0,0,0,0,0,0
119391,9625,18,21,340273,89845,7025,4149,4609,4780,7391,2908,5087,6935,0.9909,0,0
119467,2625,10164,143941,10174,10293,10402,0.9941,0,0,0,0,0,0,0,0,0
120224,2099,10411,10486,1020,10401,10555,111,10057,11243,10763,10749,0.9942,0,0,0,0
120892,1879,10038,10128,10171,10099,10313,100289635,10017,10512,10003,10227,0.9917,0,0,0,0
121355,1958,3725,23764,1012,10164,10092,10036,10054,10062,10013,0.9954,0,0,0,0,0
121506,112,284,358,367,84913,1012,1893,10401,11140,10114,1021,1071,1581,0.9957,0,0
121643,1869,10052,1029,10085,10309,10092,10253,10196,10051,0.9994,0,0,0,0,0,0
122060,340273,4363,30,10449,32,6257,6778,6688,4609,51085,7157,1523,0.9914,0,0,0
122664,2354,8061,2353,3726,3725,10332,10164,1020,10216,10286,10036,0.9944,0,0,0,0
122953,467,3726,3725,10332,10216,10164,10411,10293,10221,10402,10131,10210,1020,0.993,0,0
1230,51166,21,10257,10057,116236,5452,6935,10664,7157,0.9951,0,0,0,0,0,0
123099,53335,1879,1958,1012,10038,10092,10036,10128,0.9951,0,0,0,0,0,0,0
1235,1879,10038,10171,10128,10313,100289635,10235,10347,10487,10512,0.9882,0,0,0,0,0
123879,1958,4824,1012,10249,1020,10235,10200,10127,10013,10054,10016,0.9945,0,0,0,0
124220,51166,21,10257,10057,116236,5452,1869,0.9935,0,0,0,0,0,0,0,0
124222,467,1958,1959,1960,2099,1012,10057,10044,10156,1021,10131,0.9951,0,0,0,0
124401,21,89845,4363,10257,30,6778,6775,7025,6257,7391,1869,7157,6773,0.9939,0,0
124817,340273,72,97,8745,9509,2099,3297,988,5090,5451,5087,3298,1523,4205,0.9904,0
124842,1869,1870,1875,144455,4609,10085,10052,1003,10061,10092,10062,10067,100132464,0.9973,0,0
124872,2099,4609,10061,10067,1020,10131,10038,10121,10128,10057,10124,10156,0.9923,0,0,0
124925,1869,1870,1875,144455,10052,10085,10253,10092,1029,0.9995,0,0,0,0,0,0
124930,1958,4609,7020,10092,10067,10061,10055,10057,10096,10038,0.9907,0,0,0,0,0
1259,9869,7020,1020,10221,10092,10059,10196,10016,10130,10057,10139,10121,0.9905,0,0,0
126,414149,47,10965,6296,8754,7391,6688,5885,0.9898,0,0,0,0,0,0,0
126017,21,4363,10257,30,10449,7391,6257,4609,7157,1869,6667,140690,0.9892,0,0,0
126129,90993,2308,6258,10733,10112,1031,11232,1369,1030,10154,0.9834,0,0,0,0,0
126272,51166,21,10257,10057,116236,5452,4149,1869,140690,7157,0.9959,0,0,0,0,0
126295,4609,10067,10061,10055,10197,100132464,0.9895,0,0,0,0,0,0,0,0,0
1263,2308,3725,4609,4783,7020,10061,100132464,10067,10092,10057,10059,10112,10055,10062,10038,0.9931
126382,1869,1870,1875,144455,4609,10052,10085,10061,10092,1003,10156,100132464,10067,10131,0.9972,0
126626,1869,3725,10052,10216,10164,10085,10092,10131,10051,0.9961,0,0,0,0,0,0
126668,7020,10221,10092,10057,10196,10130,1020,10059,10016,10139,10128,0.9894,0,0,0,0
1268,21,340273,10057,30,10449,6688,6257,7391,4609,5087,2625,1523,6778,0.9882,0,0
126969,1050,1012,1033,1071,0.9969,0,0,0,0,0,0,0,0,0,0,0
127,9625,18,89845,10449,47,7025,6778,0.9933,0,0,0,0,0,0,0,0
1272,1958,3725,4602,7020,1012,10057,10092,10051,10036,10059,10062,10048,10121,10016,0.9915,0
127435,10057,10449,84320,2180,6296,6257,23462,6773,3170,3727,4211,5451,0.9931,0,0,0
127495,340273,10060,10965,2182,23305,6257,1958,5087,4800,405,6935,1523,4205,196,0.9871,0
127579,18,21,10257,10057,116236,5452,3172,0.992,0,0,0,0,0,0,0,0
127602,1958,3725,9869,1012,10164,10062,10107,100131187,10044,10131,10156,0.9961,0,0,0,0
1277,1958,3725,4602,1012,10164,10036,10051,10092,10138,0.9918,0,0,0,0,0,0
1278,53335,1879,2353,3725,10164,10038,10112,0.9938,0,0,0,0,0,0,0,0
127833,340273,176,72,97,8745,5885,2099,1488,5090,5087,6667,0.9876,0,0,0,0
1280,1958,1012,10249,10092,10243,10253,10036,10097,10130,10062,10013,0.9962,0,0,0,0
1281,3725,10332,10164,10402,10221,10615,10216,1019,1020,10131,0.9945,0,0,0,0,0
128178,1869,10052,1029,10085,10051,10309,0.9996,0,0,0,0,0,0,0,0,0
1282,4609,10067,10061,10056,10055,1020,0.9956,0,0,0,0,0,0,0,0,0
128239,84320,133,83543,226,54443,10009,10782,10127,2551,2624,2353,55290,1875,1874,5885,0.9942
1284,1958,1959,1960,23462,3725,1012,10164,1020,10036,0.9967,0,0,0,0,0,0
1287,4363,10057,116236,30,10449,5452,6257,0.9919,0,0,0,0,0,0,0,0
